City,State,Forecast_2025,AttractivenessRank,Latitude,Longitude
Utica,NY,9004.935957,318
Farmington,MO,8961.41025,319
Russellville,AR,8958.368255,320
Paragould,AR,8888.494958,321
Madera,CA,8862.624546,322
Grand Island,NE,8825.943642,323
Punta Gorda,FL,8660.877643,324
Sheboygan,WI,8653.906831,325
Dublin,GA,8541.509896,326
Adrian,MI,8522.621068,327
Naples,FL,8505.700119,328
Oak Harbor,WA,8496.204188,329
Cambridge,MD,8438.177982,330
Gadsden,AL,8347.082878,331
Eau Claire,WI,8322.427603,332
Mount Sterling,KY,8319.912549,333
Grants Pass,OR,8300.636813,334
Poplar Bluff,MO,8280.276603,335
Brunswick,GA,8230.791804,336
Ardmore,OK,8176.344097,337
Fond du Lac,WI,7985.598393,338
Lebanon,MO,7887.809748,339
Goldsboro,NC,7869.770339,340
New Castle,IN,7802.539351,341
Dubuque,IA,7740.793509,342
Shelbyville,TN,7718.975248,343
New Castle,PA,7695.486243,344
Kankakee,IL,7624.991942,345
Henderson,NC,7525.601411,346
Daphne,AL,7473.102037,347
Roswell,NM,7387.740628,348
Duncan,OK,7384.807353,349
Alexandria,MN,7325.213798,350
Gaffney,SC,7324.157422,351
Warsaw,IN,7247.520283,352
Brainerd,MN,7186.72012,353
Galesburg,IL,7177.647152,354
New Bern,NC,7108.311305,355
Farmington,NM,7076.448512,356
Sanford,NC,6955.649648,357
Branson,MO,6954.234943,358
Danville,IL,6837.552221,359
Zanesville,OH,6826.441075,360
Jackson,MS,6800.881716,361
Port Angeles,WA,6698.178304,362
Johnstown,PA,6686.538552,363
Enterprise,AL,6662.712495,364
Binghamton,NY,6620.751583,365
Centralia,WA,6565.399179,366
Twin Falls,ID,6496.445827,367
Tullahoma,TN,6461.014375,368
Stevens Point,WI,6423.321421,369
Durant,OK,6336.353689,370
Ellensburg,WA,6288.673045,371
Eureka,CA,6285.938998,372
Vernal,UT,6249.229944,373
Chillicothe,OH,6083.074043,374
Clovis,NM,5985.671513,375
Ashtabula,OH,5979.060936,376
Watertown,WI,5933.673816,377
McAlester,OK,5908.536706,378
Freeport,IL,5903.774332,379
Hobbs,NM,5887.268063,380
Sumter,SC,5743.573198,381
Aberdeen,WA,5713.982849,382
Hammond,LA,5712.871037,383
Cullman,AL,5709.686895,384
Manitowoc,WI,5699.557137,385
Victoria,TX,5676.782887,386
Fernley,NV,5630.385875,387
Midland,MI,5603.585962,388
Sevierville,TN,5585.723503,389
Ada,OK,5558.083027,390
Grand Rapids,MN,5554.234359,391
Cape Girardeau,MO,5531.417934,392
Shelby,NC,5528.018824,393
Cedartown,GA,5505.430749,394
Carbondale,IL,5473.411028,395
Rockingham,NC,5439.766803,396
Tahlequah,OK,5436.032322,397
Albertville,AL,5398.486706,398
Corsicana,TX,5325.959163,399
Anniston,AL,5172.275202,400
Talladega,AL,5138.878651,401
Seneca,SC,5135.90202,402
Roseburg,OR,5029.48724,403
Sebring,FL,5004.283972,404
Tiffin,OH,4929.784123,405
Niles,MI,4903.520906,406
Crawfordsville,IN,4884.806979,407
